不可重复,假名,"如果有的话, 给出汉字",中文翻译,连到例子表,导出的图片名字,使用声音文件,声音开始时间,声音结束时间,来源
id,kana,kanji,chinese,example_id,image_path,sound_file,sound_start,sound_end,book_id
int,string,string,string,int,string,string,int,int,int
84,みつめる,見つめる,,0,res://assets/words/jp_word_84.png,,0,0,1
85,そらす,,,0,res://assets/words/jp_word_85.png,,0,0,1
86,ちらっと,,,0,res://assets/words/jp_word_86.png,,0,0,1
87,もしかすると,,,0,res://assets/words/jp_word_87.png,,0,0,1
88,さぐる,探る,,0,res://assets/words/jp_word_88.png,,0,0,1
89,しめす,示す,,0,res://assets/words/jp_word_89.png,,0,0,1
90,こうじつ,こうじつ,,0,res://assets/words/jp_word_90.png,,0,0,1
91,うつむく,,,0,res://assets/words/jp_word_91.png,,0,0,1
92,こそこそ,,,0,res://assets/words/jp_word_92.png,,0,0,1
93,ささやく,,,0,res://assets/words/jp_word_93.png,,0,0,1
94,きんもつ,禁物,,0,res://assets/words/jp_word_94.png,,0,0,1
95,ゆるす,許す,,0,res://assets/words/jp_word_95.png,,0,0,1
96,ごうコン,合コン,,0,res://assets/words/jp_word_96.png,,0,0,1
97,アプローチ,,,0,res://assets/words/jp_word_97.png,,0,0,1
98,うんめい,運命,,0,res://assets/words/jp_word_98.png,,0,0,1
99,けつい,決意,,0,res://assets/words/jp_word_99.png,,0,0,1
100,プロポーズ,,,0,res://assets/words/jp_word_100.png,,0,0,1
101,ちかう,誓う,,0,res://assets/words/jp_word_101.png,,0,0,1
102,はなよめ,花嫁,,0,res://assets/words/jp_word_102.png,,0,0,1
103,ささいな,,,0,res://assets/words/jp_word_103.png,,0,0,1
104,さける,避ける,,0,res://assets/words/jp_word_104.png,,0,0,1
105,ごかい,誤解,,0,res://assets/words/jp_word_105.png,,0,0,1
106,かんちがい,勘違い,,0,res://assets/words/jp_word_106.png,,0,0,1
107,いいわけ,言い訳,,0,res://assets/words/jp_word_107.png,,0,0,1
108,きっぱり,,,0,res://assets/words/jp_word_108.png,,0,0,1
109,ばかにする,,,0,res://assets/words/jp_word_109.png,,0,0,1
110,いやみ,,,0,res://assets/words/jp_word_110.png,,0,0,1
111,せめる,責める,,0,res://assets/words/jp_word_111.png,,0,0,1
112,けなす,,,0,res://assets/words/jp_word_112.png,,0,0,1
113,だまる,,,0,res://assets/words/jp_word_113.png,,0,0,1
114,にらむ,,,0,res://assets/words/jp_word_114.png,,0,0,1
115,うらぎる,裏切る,,0,res://assets/words/jp_word_115.png,,0,0,1
116,だます,,,0,res://assets/words/jp_word_116.png,,0,0,1
