不可重复,假名,"如果有的话, 给出汉字",中文翻译,连到例子表,导出的图片名字,使用声音文件,声音开始时间,声音结束时间,来源
id,kana,kanji,chinese,example_id,image_path,sound_file,sound_start,sound_end,book_id
int,string,string,string,int,string,string,int,int,int
1656,はったつする,発達する,发达,0,res://assets/words/jp_word_1656.png,,0,0,2
1657,ちあんがいい,治安がいい,治安好,0,res://assets/words/jp_word_1657.png,,0,0,2
1658,せいかつすいじゅん,生活水準,生活水准,0,res://assets/words/jp_word_1658.png,,0,0,2
1659,ショッピング,,购物,0,res://assets/words/jp_word_1659.png,,0,0,2
1660,なっとう,納豆,,0,res://assets/words/jp_word_1660.png,,0,0,2
1661,グラフ,,图表,0,res://assets/words/jp_word_1661.png,,0,0,2
1662,ちょうしょくをとる,朝食をとる,吃早餐,0,res://assets/words/jp_word_1662.png,,0,0,2
1663,オレンジジュース,,橙汁,0,res://assets/words/jp_word_1663.png,,0,0,2
1664,いっきに,一気に,一下子,0,res://assets/words/jp_word_1664.png,,0,0,2
1665,がいしょくする,外食する,在外吃饭,0,res://assets/words/jp_word_1665.png,,0,0,2
1666,テーマパーク,,主题公园,0,res://assets/words/jp_word_1666.png,,0,0,2
1667,まんぞくする,満足する,满意,0,res://assets/words/jp_word_1667.png,,0,0,2
1668,わふく,和服,和服,0,res://assets/words/jp_word_1668.png,,0,0,2
1669,みんげいひん,民芸品,民间工艺品,0,res://assets/words/jp_word_1669.png,,0,0,2
1670,けしょうひん,化粧品,化妆品,0,res://assets/words/jp_word_1670.png,,0,0,2
1671,こうすい,香水,,0,res://assets/words/jp_word_1671.png,,0,0,2
1672,いやくひん,医薬品,药品,0,res://assets/words/jp_word_1672.png,,0,0,2
1673,ふくすうかいとう,複数回答,复数回答,0,res://assets/words/jp_word_1673.png,,0,0,2
1674,にほんしょく,日本食,日本料理,0,res://assets/words/jp_word_1674.png,,0,0,2
1675,かんこう,観光,,0,res://assets/words/jp_word_1675.png,,0,0,2
1676,かんこうち,観光地,旅游景点,0,res://assets/words/jp_word_1676.png,,0,0,2
1677,でんしきき,電子機器,,0,res://assets/words/jp_word_1677.png,,0,0,2
1678,ぎじゅつ,技術,,0,res://assets/words/jp_word_1678.png,,0,0,2
1679,ぎじゅつがすすむ,技術が進む,技术先进,0,res://assets/words/jp_word_1679.png,,0,0,2
1680,もじ,文字,,0,res://assets/words/jp_word_1680.png,,0,0,2
1681,~し,~市,,0,res://assets/words/jp_word_1681.png,,0,0,2
1682,てんどん,天丼,炸虾大碗盖饭,0,res://assets/words/jp_word_1682.png,,0,0,2
1683,カツどん,カツ丼,猪排盖浇饭,0,res://assets/words/jp_word_1683.png,,0,0,2
1684,あかるい,明るい,开朗,0,res://assets/words/jp_word_1684.png,,0,0,2
1685,ところ,,(好的/坏的) 地方,0,res://assets/words/jp_word_1685.png,,0,0,2
1686,しんせんな,新鮮な,新鲜的,0,res://assets/words/jp_word_1686.png,,0,0,2
1687,すいみん,睡眠,,0,res://assets/words/jp_word_1687.png,,0,0,2
1688,~すぎ,~過ぎ,~以后,0,res://assets/words/jp_word_1688.png,,0,0,2
1689,~ときがある,~時がある,有~的时候,0,res://assets/words/jp_word_1689.png,,0,0,2
1690,ストレッチする,,做伸展体操,0,res://assets/words/jp_word_1690.png,,0,0,2
1691,ひつじ,羊,羊,0,res://assets/words/jp_word_1691.png,,0,0,2
1692,そのた,その他,其他,0,res://assets/words/jp_word_1692.png,,0,0,2
1693,よなか,夜中,夜里,0,res://assets/words/jp_word_1693.png,,0,0,2
1694,めがさめる,目が覚める,(睡) 醒,0,res://assets/words/jp_word_1694.png,,0,0,2
1695,おそくまで,遅くまで,到很晚,0,res://assets/words/jp_word_1695.png,,0,0,2
1696,かつどうする,活動する,活动,0,res://assets/words/jp_word_1696.png,,0,0,2
1697,つうきん,通勤,上下班,0,res://assets/words/jp_word_1697.png,,0,0,2
1698,げんしょうする,減少する,减少,0,res://assets/words/jp_word_1698.png,,0,0,2
1699,からだのふちょう,体の不調,身体不舒服,0,res://assets/words/jp_word_1699.png,,0,0,2
1700,ふちょうをうったえる,不調を訴え,诉说不舒服,0,res://assets/words/jp_word_1700.png,,0,0,2
1701,しぜんに,自然に,自然地,0,res://assets/words/jp_word_1701.png,,0,0,2
1702,ひるま,昼間,白天,0,res://assets/words/jp_word_1702.png,,0,0,2
1703,うごかす,動かす,活动,0,res://assets/words/jp_word_1703.png,,0,0,2
1704,~にかんして,~に関して,关于~,0,res://assets/words/jp_word_1704.png,,0,0,2
1705,しんけいしつな,神経質な,神经质,0,res://assets/words/jp_word_1705.png,,0,0,2
1706,こえがよくでる,声がよく出る,出大声,0,res://assets/words/jp_word_1706.png,,0,0,2
1707,きけん,危険,危险,0,res://assets/words/jp_word_1707.png,,0,0,2
1708,むしあつい,蒸し暑い,闷热,0,res://assets/words/jp_word_1708.png,,0,0,2
1709,まんぞくど,満足度,满足程度,0,res://assets/words/jp_word_1709.png,,0,0,2
1710,くらしやすさ,暮らしやすさ,生活方便的程度,0,res://assets/words/jp_word_1710.png,,0,0,2
1711,かんきょう,環境,环境,0,res://assets/words/jp_word_1711.png,,0,0,2
1712,つゆ,梅雨,,0,res://assets/words/jp_word_1712.png,,0,0,2
1713,カップラーメン,,杯面,0,res://assets/words/jp_word_1713.png,,0,0,2
1714,できあがる,,做好,0,res://assets/words/jp_word_1714.png,,0,0,2
1715,よのなか,世の中,社会,0,res://assets/words/jp_word_1715.png,,0,0,2
1716,バカな,,"愚蠢的,糊涂的",0,res://assets/words/jp_word_1716.png,,0,0,2
1717,ねんまつ,年末,年底,0,res://assets/words/jp_word_1717.png,,0,0,2
1718,しゅうきょう,宗教,,0,res://assets/words/jp_word_1718.png,,0,0,2
1719,かんけいがある,関係がある,有关系,0,res://assets/words/jp_word_1719.png,,0,0,2
1720,サンダル,,凉鞋,0,res://assets/words/jp_word_1720.png,,0,0,2
1721,しんせいな,神聖な,神圣的,0,res://assets/words/jp_word_1721.png,,0,0,2
1722,しょくよく,食欲,,0,res://assets/words/jp_word_1722.png,,0,0,2
1723,しんろ,進路,(人生的) 发展方向、前进方向,0,res://assets/words/jp_word_1723.png,,0,0,2
1724,めんせつ,面接,面试,0,res://assets/words/jp_word_1724.png,,0,0,2
1725,しかた,,做法、方法,0,res://assets/words/jp_word_1725.png,,0,0,2
1726,ます,増す,增加,0,res://assets/words/jp_word_1726.png,,0,0,2
1727,ストレスがたまる,,精神疲劳蓄积,0,res://assets/words/jp_word_1727.png,,0,0,2
1728,うり,売り,卖点,0,res://assets/words/jp_word_1728.png,,0,0,2
1729,アンケートをとる,,做问卷调查,0,res://assets/words/jp_word_1729.png,,0,0,2
1730,いカメラ,胃カメラ,胃镜,0,res://assets/words/jp_word_1730.png,,0,0,2
1731,かんでんち,乾電池,干电池,0,res://assets/words/jp_word_1731.png,,0,0,2
1732,サインペン,,签字笔,0,res://assets/words/jp_word_1732.png,,0,0,2
1733,せんす,,扇子,0,res://assets/words/jp_word_1733.png,,0,0,2
1734,インスタントコーヒー,,速溶咖啡,0,res://assets/words/jp_word_1734.png,,0,0,2
1735,とうじ,当時,,0,res://assets/words/jp_word_1735.png,,0,0,2
1736,ちゅうもくする,注目する,关注,0,res://assets/words/jp_word_1736.png,,0,0,2
1737,とっきょ,特許,专利,0,res://assets/words/jp_word_1737.png,,0,0,2
1738,とっきょをとる,特許を取る,取得专利,0,res://assets/words/jp_word_1738.png,,0,0,2
1739,べつの,別の,别的,0,res://assets/words/jp_word_1739.png,,0,0,2
1740,けんさ,検査,检查,0,res://assets/words/jp_word_1740.png,,0,0,2
1741,せいじか,政治家,,0,res://assets/words/jp_word_1741.png,,0,0,2
1742,ていしゅつする,提出する,提交,0,res://assets/words/jp_word_1742.png,,0,0,2
1743,たんい,単位,学分,0,res://assets/words/jp_word_1743.png,,0,0,2
1744,たんいをとる,単位を取る,拿学分,0,res://assets/words/jp_word_1744.png,,0,0,2
1745,しかく,資格,资格,0,res://assets/words/jp_word_1745.png,,0,0,2
1746,しかくをとる,資格を取る,取得资格,0,res://assets/words/jp_word_1746.png,,0,0,2
1747,かいはつする,開発する,"开发,研制",0,res://assets/words/jp_word_1747.png,,0,0,2
1748,ダイナマイト,,炸药,0,res://assets/words/jp_word_1748.png,,0,0,2
1749,~し,～氏,～先生,0,res://assets/words/jp_word_1749.png,,0,0,2
1750,けんちくか,建築家,建筑师,0,res://assets/words/jp_word_1750.png,,0,0,2
1751,さいがいきゅうじょ,災害救助,救灾,0,res://assets/words/jp_word_1751.png,,0,0,2
1752,きぎょう,企業,企业,0,res://assets/words/jp_word_1752.png,,0,0,2
1753,おおあめ,大雨,,0,res://assets/words/jp_word_1753.png,,0,0,2
1754,しゃりょう,車両,车辆,0,res://assets/words/jp_word_1754.png,,0,0,2
1755,あんぜん,安全,,0,res://assets/words/jp_word_1755.png,,0,0,2
1756,こうかいする,後悔する,后悔,0,res://assets/words/jp_word_1756.png,,0,0,2
1757,すっかり,,完全,0,res://assets/words/jp_word_1757.png,,0,0,2
1758,すうがくぎらい,数学嫌い,不喜欢数学,0,res://assets/words/jp_word_1758.png,,0,0,2
1759,おもいびょうき,重い病気,重病,0,res://assets/words/jp_word_1759.png,,0,0,2
1760,たいがくする,退学する,退学,0,res://assets/words/jp_word_1760.png,,0,0,2
1761,もうべんきょうする,猛勉強する,拼命学习,0,res://assets/words/jp_word_1761.png,,0,0,2
1762,えいごにくろうする,英語に苦労する,"为英语费劲,伤神",0,res://assets/words/jp_word_1762.png,,0,0,2
1763,たいちょう,体調,身体状况,0,res://assets/words/jp_word_1763.png,,0,0,2
1764,スリッパ,,拖鞋,0,res://assets/words/jp_word_1764.png,,0,0,2
1765,ティッシュ,,面巾纸,0,res://assets/words/jp_word_1765.png,,0,0,2
1766,タグ,,标签,0,res://assets/words/jp_word_1766.png,,0,0,2
1767,ジャケット,,茄克衫,0,res://assets/words/jp_word_1767.png,,0,0,2
1768,たたみ,畳,榻榻米,0,res://assets/words/jp_word_1768.png,,0,0,2
1769,~えんさつ,~円札,~日元纸钞,0,res://assets/words/jp_word_1769.png,,0,0,2
1770,くしゃくしゃになる,,皱巴巴,0,res://assets/words/jp_word_1770.png,,0,0,2
1771,からからになる,,变干,0,res://assets/words/jp_word_1771.png,,0,0,2
1772,しん,,笔芯,0,res://assets/words/jp_word_1772.png,,0,0,2
1773,とがった,,尖,0,res://assets/words/jp_word_1773.png,,0,0,2
1774,なまえをつける,名前をつける,起名,0,res://assets/words/jp_word_1774.png,,0,0,2
1775,へんこうする,変更する,变更,0,res://assets/words/jp_word_1775.png,,0,0,2
1776,いまでは,今では,如今,0,res://assets/words/jp_word_1776.png,,0,0,2
1777,おんだんか,温暖化,温室效应,0,res://assets/words/jp_word_1777.png,,0,0,2
1778,さばくか,砂漠化,沙漠化,0,res://assets/words/jp_word_1778.png,,0,0,2
1779,じぶんたち,自分たち,,0,res://assets/words/jp_word_1779.png,,0,0,2
